# 原版单位工具条对照表
```{note}
通过搜索 CSF 条目可以在 INI 文件中很简单的使用文本搜索来快速找到你所需要的对象，只不过平民建筑方面会由于一些游戏官方的偷懒行为费力一些。

当然，如果你修改的是其他人的成品 mod，那么该表很可能并不适用，这种情况请向 mod 开发组求助。
```

CSF 条目				| 		单位名
:-----------------------|:--------------------
`Name:E1`				|		美国大兵
`Name:SNIPE`			|		狙击手
`Name:FLAKT`			|		防空步兵
`Name:E2`				|		动员兵
`Name:SHK`				|		磁爆步兵
`Name:ENGINEER`			|		工程师
`Name:JUMPJET`			|		火箭飞行兵
`Name:GHOST`			|		海豹部队
`Name:TANYA`			|		谭雅
`Name:YURI`				|		尤里
`Name:IVAN`				|		疯狂伊万
`Name:DESO`				|		辐射工兵
`Name:CLEG`				|		超时空军团兵
`Name:DOG`				|		军犬
`Name:CIV1`				|		平民
`Name:CIV2`				|		平民
`Name:CIV3`				|		平民
`Name:COW`				|		乳牛
`Name:CTECH`			|		技师
`Name:WEEDGUY`			|		化学兵
`Name:SPY`				|		间谍
`Name:TERROR`			|		恐怖份子
`Name:CCOMAND`			|		超时空突击队
`Name:PTROOP`			|		超能力部队
`Name:CIVAN`			|		超时空伊万
`Name:YURIPR`			|		尤里改
`Name:HVR`				|		盘旋猴
`Name:APOC`				|		天启坦克
`Name:DTRUCK`			|		自爆卡车
`Name:TRUCKA`			|		卡车
`Name:TRUCKB`			|		卡车（载货）
`Name:SUB`				|		颱风级攻击潜艇
`Name:DLPH`				|		海豚
`Name:AEGIS`			|		神盾巡洋舰
`Name:CARRIER`			|		航空母舰
`Name:CARRIERB`			|		尼米兹号航空母舰
`Name:DRED`				|		无畏级战舰
`Name:DREDB`			|		无畏级战舰+3
`Name:HYD`				|		海蝎
`Name:DEST`				|		驱逐舰
`Name:V3`				|		V3火箭发射车
`Name:DRON`				|		恐怖机器人
`Name:SQD`				|		巨型乌贼
`Name:HORV`				|		武装采矿车
`Name:HARV`				|		武装采矿车
`Name:CMON`				|		超时空采矿车（未装载）
`Name:CMIN`				|		超时空采矿车
`Name:AMCV`				|		盟军机动基地车
`Name:SMCV`				|		苏联机动基地车
`Name:LCRF`				|		两栖运输艇
`Name:HTK`				|		防空履带车
`Name:BUS`				|		校车
`Name:LOCOMOTIVE`		|		火车
`Name:TRAINCAR`			|		教练车
`Name:CARGOCAR`			|		运输车
`Name:PICK`				|		小货车
`Name:CAR`				|		汽车
`Name:WINI`				|		休旅车
`Name:HTNK`				|		犀牛坦克
`Name:LTNK`				|		轻坦克
`Name:MTNK`				|		灰熊坦克
`Name:MGTK`				|		幻影坦克
`Name:FV`				|		多功能步兵战斗车
`Name:TNKD`				|		坦克杀手
`Name:HOWI`				|		榴弹炮
`Name:SAPC`				|		装甲运兵船
`Name:TTNK`				|		磁能坦克
`Name:SREF`				|		光稜坦克
`Name:XCOMET`			|		位置标定器
`Name:ORCA`				|		入侵者战机
`Name:BEAGLE`			|		黑鹰战机
`Name:ORCATRAN`			|		黑鸥运输机损坏版
`Name:HIND`				|		雌鹿运输直升机
`Name:TRNSPORT`			|		运输机
`Name:SHAD`				|		夜鹰直升机
`Name:ZEP`				|		基洛夫空艇
`Name:HORNET`			|		黄蜂
`Name:DMISL`			|		飞弹
